Gender,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight
1,55.88,45.72,50.8,45.72,35.56,55.88,55.88,63.5,63.5,55.88,132.08
1,48.26,55.88,43.18,45.72,53.34,63.5,71.12,58.42,63.5,50.8,142.24
0,53.34,45.72,40.64,35.56,25.4,38.1,53.34,45.72,35.56,45.72,134.62
1,50.8,50.8,45.72,27.94,48.26,35.56,60.96,53.34,50.8,53.34,114.3
0,40.64,35.56,45.72,33.02,27.94,76.2,63.5,55.88,81.28,33.02,119.38
0,43.18,48.26,45.72,35.56,40.64,45.72,50.8,60.96,53.34,48.26,152.4
0,63.5,43.18,40.64,43.18,30.48,71.12,58.42,63.5,35.56,45.72,124.46
0,45.72,38.1,48.26,43.18,58.42,68.58,48.26,48.26,48.26,48.26,147.32
1,40.64,40.64,50.8,45.72,55.88,45.72,38.1,66.04,50.8,48.26,101.6
1,38.1,50.8,71.12,45.72,231.14,43.18,40.64,53.34,53.34,48.26,139.7
1,40.64,71.12,43.18,38.1,53.34,76.2,43.18,63.5,45.72,43.18,127
1,58.42,53.34,45.72,30.48,45.72,68.58,45.72,43.18,48.26,50.8,124.46
0,53.34,48.26,43.18,43.18,50.8,53.34,50.8,50.8,45.72,55.88,149.86
1,48.26,43.18,45.72,45.72,60.96,71.12,58.42,55.88,43.18,60.96,119.38
0,60.96,53.34,43.18,40.64,45.72,48.26,48.26,68.58,43.18,48.26,129.54
0,48.26,38.1,50.8,27.94,50.8,45.72,48.26,71.12,43.18,45.72,144.78
0,40.64,50.8,40.64,22.86,63.5,55.88,48.26,48.26,63.5,38.1,152.4
1,53.34,45.72,53.34,30.48,48.26,53.34,38.1,50.8,53.34,50.8,149.86
1,50.8,40.64,71.12,45.72,43.18,58.42,40.64,68.58,58.42,22.86,121.92
1,45.72,38.1,45.72,38.1,45.72,60.96,50.8,63.5,43.18,33.02,106.68
1,63.5,45.72,45.72,38.1,48.26,48.26,58.42,48.26,45.72,53.34,124.46
0,203.2,48.26,40.64,43.18,50.8,50.8,60.96,55.88,48.26,50.8,111.76
0,53.34,53.34,40.64,45.72,55.88,76.2,38.1,50.8,63.5,22.86,114.3
1,40.64,55.88,43.18,35.56,60.96,48.26,55.88,45.72,53.34,33.02,137.16
0,38.1,48.26,43.18,38.1,40.64,50.8,45.72,66.04,53.34,53.34,144.78
1,40.64,40.64,45.72,43.18,38.1,53.34,48.26,48.26,53.34,50.8,152.4
1,50.8,43.18,43.18,48.26,45.72,58.42,38.1,43.18,53.34,45.72,144.78
1,43.18,45.72,45.72,25.4,43.18,60.96,50.8,71.12,50.8,53.34,147.32
1,48.26,38.1,50.8,35.56,55.88,53.34,63.5,68.58,58.42,48.26,114.3
1,71.12,35.56,50.8,45.72,48.26,76.2,60.96,63.5,50.8,50.8,129.54
1,73.66,50.8,45.72,43.18,45.72,88.9,50.8,50.8,40.64,76.2,78.74
0,43.18,55.88,40.64,30.48,45.72,76.2,43.18,68.58,27.94,78.74,76.2
1,48.26,50.8,50.8,35.56,45.72,53.34,50.8,71.12,30.48,53.34,83.82
1,60.96,48.26,40.64,38.1,48.26,53.34,43.18,60.96,30.48,71.12,152.4
0,38.1,53.34,40.64,38.1,50.8,53.34,45.72,43.18,30.48,99.06,114.3
0,35.56,55.88,45.72,43.18,33.02,50.8,48.26,45.72,33.02,68.58,119.38
0,48.26,48.26,45.72,45.72,27.94,58.42,50.8,48.26,35.56,71.12,121.92
0,43.18,53.34,48.26,45.72,27.94,60.96,48.26,50.8,45.72,55.88,101.6
1,45.72,40.64,40.64,48.26,30.48,71.12,48.26,53.34,45.72,53.34,121.92
1,50.8,43.18,43.18,48.26,33.02,50.8,48.26,40.64,43.18,50.8,121.92
0,55.88,43.18,43.18,30.48,33.02,71.12,45.72,48.26,43.18,68.58,152.4
1,58.42,43.18,43.18,30.48,45.72,50.8,50.8,45.72,45.72,43.18,139.7
1,55.88,43.18,55.88,25.4,45.72,53.34,58.42,43.18,40.64,45.72,129.54
1,50.8,45.72,55.88,27.94,35.56,58.42,55.88,43.18,45.72,48.26,132.08
0,48.26,50.8,50.8,27.94,35.56,48.26,50.8,43.18,45.72,76.2,134.62
0,48.26,50.8,53.34,33.02,35.56,45.72,53.34,45.72,43.18,50.8,149.86
0,48.26,53.34,50.8,33.02,33.02,48.26,50.8,45.72,45.72,71.12,127
1,68.58,40.64,40.64,35.56,38.1,45.72,48.26,48.26,50.8,68.58,127
1,66.04,40.64,35.56,48.26,40.64,48.26,48.26,50.8,53.34,53.34,99.06
0,66.04,35.56,38.1,45.72,43.18,50.8,45.72,50.8,43.18,53.34,144.78
0,48.26,48.26,25.4,40.64,50.8,48.26,53.34,43.18,45.72,55.88,111.76
0,50.8,45.72,40.64,45.72,53.34,76.2,53.34,43.18,45.72,58.42,119.38
1,55.88,38.1,40.64,40.64,53.34,48.26,45.72,45.72,43.18,58.42,144.78
1,48.26,53.34,40.64,48.26,58.42,45.72,48.26,66.04,48.26,35.56,147.32
1,45.72,50.8,43.18,35.56,50.8,43.18,48.26,68.58,40.64,45.72,149.86
0,43.18,53.34,45.72,40.64,50.8,43.18,50.8,66.04,43.18,43.18,129.54
0,43.18,45.72,50.8,48.26,38.1,43.18,50.8,43.18,35.56,48.26,149.86
1,50.8,50.8,45.72,48.26,27.94,45.72,43.18,38.1,27.94,50.8,132.08
0,53.34,48.26,35.56,33.02,38.1,40.64,43.18,53.34,55.88,96.52,152.4
1,43.18,22.86,20.32,20.32,25.4,25.4,27.94,20.32,43.18,48.26,63.5
1,48.26,38.1,33.02,22.86,38.1,38.1,53.34,60.96,43.18,78.74,127
1,53.34,43.18,27.94,20.32,50.8,22.86,63.5,53.34,45.72,93.98,152.4
0,66.04,45.72,33.02,27.94,58.42,40.64,58.42,68.58,55.88,116.84,182.88
1,40.64,33.02,43.18,33.02,48.26,40.64,43.18,45.72,45.72,93.98,86.36
0,60.96,53.34,38.1,30.48,40.64,43.18,60.96,53.34,48.26,86.36,96.52
1,48.26,38.1,17.78,20.32,33.02,38.1,43.18,50.8,53.34,93.98,129.54
1,45.72,33.02,38.1,30.48,38.1,38.1,40.64,48.26,33.02,66.04,109.22
1,55.88,40.64,40.64,20.32,22.86,27.94,35.56,50.8,53.34,76.2,127
1,50.8,43.18,53.34,35.56,33.02,40.64,55.88,68.58,53.34,104.14,119.38
1,58.42,40.64,35.56,27.94,35.56,35.56,50.8,55.88,58.42,83.82,132.08
0,60.96,45.72,53.34,48.26,53.34,58.42,58.42,68.58,53.34,71.12,149.86
1,38.1,17.78,17.78,15.24,17.78,25.4,25.4,27.94,20.32,43.18,58.42
1,48.26,40.64,38.1,33.02,50.8,40.64,60.96,99.06,53.34,106.68,157.48
0,55.88,45.72,45.72,38.1,43.18,50.8,53.34,66.04,55.88,48.26,96.52
1,63.5,48.26,43.18,55.88,43.18,55.88,48.26,68.58,50.8,68.58,119.38
1,43.18,35.56,43.18,38.1,48.26,40.64,55.88,63.5,53.34,104.14,127
1,58.42,38.1,33.02,25.4,33.02,33.02,50.8,55.88,40.64,76.2,142.24
1,50.8,45.72,27.94,22.86,50.8,35.56,53.34,22.86,48.26,104.14,139.7
0,40.64,17.78,20.32,20.32,17.78,20.32,25.4,60.96,20.32,45.72,60.96
0,53.34,48.26,25.4,25.4,55.88,25.4,58.42,60.96,48.26,93.98,152.4
1,60.96,38.1,33.02,22.86,25.4,40.64,53.34,25.4,50.8,91.44,154.94
1,38.1,17.78,27.94,20.32,17.78,38.1,17.78,55.88,17.78,40.64,60.96
1,50.8,45.72,17.78,20.32,25.4,58.42,48.26,50.8,60.96,86.36,96.52
1,53.34,48.26,30.48,40.64,45.72,35.56,66.04,58.42,66.04,73.66,93.98
1,60.96,33.02,45.72,53.34,53.34,60.96,63.5,48.26,48.26,124.46,190.5
0,43.18,27.94,38.1,30.48,33.02,40.64,38.1,55.88,33.02,66.04,101.6
1,48.26,25.4,38.1,33.02,38.1,43.18,53.34,55.88,48.26,83.82,119.38
1,50.8,45.72,30.48,27.94,55.88,33.02,55.88,63.5,50.8,101.6,144.78
1,40.64,20.32,17.78,17.78,20.32,22.86,22.86,25.4,22.86,45.72,58.42
1,50.8,45.72,25.4,22.86,53.34,25.4,60.96,55.88,48.26,96.52,149.86
0,55.88,40.64,30.48,25.4,27.94,35.56,58.42,63.5,48.26,96.52,152.4
1,45.72,35.56,22.86,22.86,25.4,27.94,50.8,58.42,38.1,76.2,134.62
1,50.8,45.72,30.48,27.94,33.02,27.94,55.88,63.5,50.8,101.6,154.94
1,40.64,35.56,30.48,25.4,33.02,48.26,38.1,50.8,27.94,55.88,83.82
1,50.8,40.64,30.48,25.4,35.56,35.56,50.8,63.5,45.72,81.28,129.54
1,66.04,48.26,35.56,30.48,58.42,40.64,60.96,71.12,58.42,116.84,185.42
1,50.8,43.18,35.56,33.02,35.56,38.1,55.88,66.04,53.34,106.68,157.48
1,50.8,40.64,20.32,22.86,35.56,40.64,45.72,53.34,55.88,96.52,132.08
0,58.42,40.64,35.56,27.94,35.56,35.56,53.34,58.42,43.18,83.82,142.24
1,55.88,43.18,30.48,33.02,55.88,30.48,58.42,68.58,50.8,116.84,157.48
1,50.8,43.18,45.72,22.86,40.64,20.32,58.42,33.02,50.8,76.2,101.6
1,40.64,20.32,30.48,20.32,17.78,25.4,27.94,27.94,20.32,43.18,58.42
0,50.8,48.26,33.02,30.48,40.64,43.18,17.78,68.58,48.26,99.06,109.22
1,55.88,48.26,50.8,45.72,50.8,58.42,60.96,68.58,48.26,99.06,96.52
1,50.8,33.02,25.4,20.32,25.4,30.48,58.42,48.26,50.8,86.36,190.5
1,58.42,50.8,40.64,38.1,35.56,40.64,33.02,68.58,58.42,114.3,134.62
1,58.42,40.64,27.94,25.4,35.56,35.56,63.5,63.5,50.8,99.06,134.62
0,58.42,40.64,53.34,35.56,50.8,43.18,55.88,55.88,53.34,76.2,109.22
1,43.18,35.56,45.72,35.56,50.8,43.18,50.8,48.26,48.26,99.06,86.36
1,53.34,45.72,45.72,35.56,45.72,48.26,45.72,66.04,55.88,101.6,116.84
1,48.26,30.48,43.18,33.02,40.64,45.72,58.42,58.42,50.8,96.52,106.68
1,58.42,50.8,35.56,33.02,43.18,40.64,50.8,71.12,50.8,101.6,121.92
1,55.88,43.18,55.88,33.02,55.88,48.26,58.42,50.8,50.8,68.58,119.38
1,63.5,48.26,58.42,45.72,58.42,50.8,55.88,58.42,58.42,73.66,142.24
1,60.96,45.72,53.34,50.8,55.88,60.96,66.04,71.12,45.72,96.52,149.86
1,45.72,30.48,35.56,33.02,35.56,38.1,40.64,45.72,35.56,63.5,106.68
0,48.26,45.72,38.1,541.02,35.56,43.18,40.64,50.8,58.42,91.44,152.4
1,45.72,48.26,40.64,30.48,38.1,40.64,38.1,45.72,63.5,96.52,149.86
1,40.64,55.88,50.8,58.42,35.56,48.26,40.64,43.18,66.04,73.66,157.48
1,43.18,43.18,53.34,38.1,33.02,27.94,35.56,45.72,68.58,86.36,104.14
1,55.88,40.64,25.4,43.18,25.4,33.02,55.88,43.18,53.34,86.36,144.78
0,53.34,35.56,22.86,25.4,43.18,50.8,40.64,45.72,50.8,93.98,124.46
0,43.18,48.26,20.32,27.94,35.56,48.26,35.56,50.8,53.34,76.2,160.02
1,48.26,50.8,33.02,45.72,45.72,45.72,40.64,53.34,48.26,58.42,124.46
0,40.64,58.42,45.72,30.48,127,35.56,55.88,30.48,45.72,73.66,111.76
0,35.56,25.4,30.48,22.86,124.46,43.18,50.8,63.5,43.18,33.02,137.16
1,30.48,35.56,27.94,45.72,91.44,43.18,53.34,58.42,40.64,68.58,162.56
1,38.1,48.26,40.64,25.4,66.04,40.64,48.26,60.96,55.88,71.12,175.26
1,33.02,45.72,43.18,58.42,48.26,33.02,50.8,53.34,48.26,76.2,170.18
1,45.72,43.18,38.1,60.96,152.4,35.56,35.56,50.8,58.42,73.66,144.78
0,55.88,35.56,27.94,35.56,25.4,48.26,38.1,48.26,53.34,78.74,172.72
0,63.5,40.64,30.48,33.02,50.8,33.02,53.34,43.18,50.8,73.66,175.26
1,40.64,38.1,35.56,35.56,53.34,48.26,38.1,43.18,55.88,60.96,121.92
1,58.42,50.8,25.4,22.86,45.72,50.8,40.64,40.64,48.26,50.8,147.32
1,38.1,48.26,27.94,40.64,48.26,53.34,30.48,45.72,45.72,53.34,152.4
1,33.02,55.88,35.56,30.48,50.8,55.88,53.34,48.26,48.26,55.88,144.78
1,27.94,27.94,48.26,35.56,53.34,53.34,38.1,53.34,55.88,76.2,121.92
0,60.96,25.4,27.94,45.72,53.34,48.26,50.8,58.42,50.8,73.66,124.46
1,40.64,25.4,40.64,50.8,25.4,35.56,40.64,53.34,53.34,63.5,137.16
0,33.02,35.56,33.02,27.94,43.18,43.18,48.26,50.8,76.2,76.2,119.38
0,25.4,40.64,25.4,48.26,78.74,40.64,50.8,48.26,50.8,73.66,167.64
1,22.86,43.18,17.78,25.4,73.66,35.56,43.18,45.72,45.72,48.26,124.46
1,35.56,45.72,22.86,22.86,30.48,38.1,48.26,50.8,53.34,50.8,137.16
0,53.34,48.26,25.4,50.8,132.08,91.44,101.6,91.44,76.2,73.66,119.38
0,53.34,30.48,27.94,48.26,101.6,111.76,104.14,83.82,73.66,76.2,101.6
1,55.88,45.72,43.18,38.1,35.56,38.1,60.96,55.88,53.34,53.34,139.7
1,45.72,48.26,50.8,38.1,53.34,55.88,55.88,48.26,50.8,33.02,132.08
1,43.18,35.56,40.64,22.86,22.86,35.56,58.42,63.5,33.02,50.8,81.28
0,48.26,50.8,53.34,25.4,25.4,76.2,45.72,38.1,48.26,22.86,88.9
0,58.42,40.64,43.18,30.48,27.94,45.72,38.1,53.34,50.8,38.1,142.24
0,63.5,45.72,48.26,35.56,30.48,48.26,48.26,55.88,63.5,50.8,127
0,50.8,50.8,45.72,40.64,40.64,50.8,63.5,58.42,38.1,45.72,114.3
1,40.64,45.72,45.72,45.72,58.42,45.72,58.42,55.88,50.8,45.72,114.3
0,40.64,48.26,40.64,30.48,60.96,43.18,60.96,60.96,35.56,48.26,129.54
1,45.72,43.18,45.72,27.94,48.26,35.56,50.8,66.04,53.34,60.96,121.92
0,38.1,50.8,48.26,40.64,53.34,45.72,48.26,50.8,55.88,55.88,109.22
1,43.18,45.72,50.8,38.1,45.72,48.26,53.34,53.34,35.56,58.42,132.08
1,63.5,45.72,53.34,43.18,50.8,50.8,58.42,63.5,58.42,66.04,99.06
1,58.42,55.88,50.8,30.48,53.34,53.34,60.96,55.88,55.88,68.58,114.3
1,48.26,45.72,45.72,48.26,45.72,55.88,43.18,48.26,50.8,53.34,121.92
1,45.72,40.64,50.8,40.64,50.8,45.72,55.88,50.8,48.26,48.26,78.74
1,50.8,53.34,45.72,43.18,53.34,48.26,45.72,45.72,45.72,48.26,152.4
0,53.34,45.72,48.26,35.56,45.72,43.18,48.26,43.18,43.18,48.26,127
0,60.96,53.34,50.8,25.4,45.72,50.8,50.8,35.56,60.96,40.64,124.46
1,48.26,45.72,40.64,48.26,48.26,53.34,58.42,58.42,55.88,50.8,83.82
0,50.8,53.34,45.72,38.1,73.66,55.88,60.96,71.12,53.34,55.88,99.06
0,50.8,48.26,48.26,35.56,55.88,50.8,58.42,68.58,50.8,53.34,119.38
1,60.96,50.8,45.72,33.02,35.56,45.72,53.34,48.26,50.8,50.8,134.62
0,43.18,40.64,45.72,25.4,43.18,43.18,43.18,50.8,45.72,48.26,104.14
1,45.72,38.1,43.18,27.94,40.64,38.1,50.8,53.34,40.64,53.34,132.08
1,48.26,40.64,43.18,33.02,48.26,35.56,63.5,63.5,48.26,50.8,121.92
1,53.34,50.8,45.72,30.48,50.8,50.8,48.26,50.8,50.8,48.26,129.54
1,53.34,45.72,45.72,30.48,48.26,48.26,50.8,55.88,53.34,45.72,101.6
1,50.8,53.34,50.8,43.18,50.8,45.72,60.96,48.26,55.88,53.34,139.7
1,45.72,33.02,35.56,33.02,33.02,30.48,30.48,40.64,22.86,48.26,76.2
0,55.88,43.18,50.8,40.64,50.8,50.8,50.8,50.8,48.26,76.2,127
0,48.26,25.4,35.56,38.1,20.32,17.78,17.78,30.48,15.24,40.64,50.8
0,53.34,35.56,38.1,53.34,35.56,30.48,30.48,40.64,27.94,63.5,76.2
1,60.96,53.34,48.26,33.02,68.58,76.2,50.8,53.34,48.26,76.2,127
1,48.26,40.64,40.64,53.34,38.1,40.64,50.8,50.8,50.8,101.6,132.08
1,55.88,30.48,27.94,35.56,15.24,20.32,27.94,27.94,45.72,40.64,78.74
1,43.18,45.72,40.64,27.94,50.8,50.8,50.8,53.34,40.64,81.28,132.08
1,53.34,25.4,30.48,40.64,20.32,17.78,167.64,17.78,20.32,43.18,53.34
1,55.88,38.1,22.86,20.32,50.8,25.4,167.64,50.8,38.1,78.74,129.54
1,45.72,40.64,20.32,17.78,17.78,27.94,53.34,53.34,40.64,81.28,132.08
1,40.64,40.64,17.78,22.86,25.4,35.56,55.88,50.8,43.18,78.74,101.6
0,48.26,43.18,25.4,15.24,22.86,27.94,48.26,55.88,30.48,68.58,116.84
0,53.34,15.24,15.24,17.78,27.94,17.78,40.64,17.78,20.32,43.18,53.34
0,58.42,27.94,20.32,12.7,22.86,17.78,17.78,27.94,17.78,43.18,76.2
0,53.34,33.02,25.4,15.24,17.78,30.48,20.32,53.34,25.4,63.5,91.44
0,55.88,40.64,17.78,22.86,22.86,25.4,50.8,50.8,25.4,76.2,109.22
1,48.26,43.18,17.78,27.94,25.4,25.4,53.34,45.72,40.64,91.44,116.84
1,60.96,43.18,25.4,22.86,27.94,25.4,55.88,45.72,50.8,101.6,116.84
1,53.34,40.64,22.86,15.24,27.94,25.4,43.18,58.42,43.18,81.28,142.24
1,55.88,25.4,20.32,22.86,25.4,25.4,53.34,53.34,33.02,58.42,104.14
1,45.72,48.26,25.4,25.4,15.24,30.48,53.34,50.8,30.48,76.2,88.9
1,63.5,50.8,27.94,27.94,25.4,35.56,50.8,53.34,48.26,86.36,101.6
1,58.42,43.18,30.48,30.48,27.94,30.48,50.8,40.64,43.18,76.2,132.08
1,53.34,38.1,33.02,27.94,17.78,33.02,53.34,43.18,50.8,106.68,106.68
1,53.34,40.64,27.94,25.4,15.24,27.94,55.88,50.8,48.26,99.06,177.8
1,58.42,45.72,33.02,27.94,25.4,35.56,50.8,50.8,35.56,76.2,142.24
1,48.26,33.02,40.64,38.1,35.56,38.1,35.56,48.26,25.4,53.34,81.28
1,53.34,45.72,53.34,48.26,53.34,55.88,60.96,55.88,50.8,101.6,144.78
1,45.72,22.86,25.4,22.86,22.86,25.4,22.86,38.1,22.86,45.72,58.42
1,50.8,38.1,38.1,40.64,38.1,40.64,40.64,48.26,33.02,66.04,88.9
1,58.42,55.88,50.8,58.42,76.2,86.36,60.96,63.5,50.8,101.6,139.7
0,60.96,43.18,45.72,38.1,40.64,45.72,55.88,55.88,53.34,106.68,144.78
0,45.72,35.56,30.48,25.4,22.86,25.4,30.48,30.48,22.86,45.72,81.28
1,68.58,43.18,50.8,45.72,53.34,55.88,58.42,55.88,48.26,99.06,139.7
0,45.72,22.86,33.02,22.86,22.86,25.4,20.32,25.4,22.86,45.72,58.42
1,50.8,25.4,25.4,22.86,53.34,27.94,58.42,53.34,48.26,96.52,134.62
1,53.34,43.18,22.86,25.4,22.86,30.48,60.96,55.88,50.8,101.6,142.24
1,48.26,43.18,20.32,20.32,27.94,38.1,50.8,50.8,50.8,101.6,127
0,53.34,45.72,27.94,22.86,25.4,33.02,50.8,58.42,38.1,76.2,121.92
0,43.18,20.32,17.78,17.78,25.4,22.86,22.86,25.4,22.86,45.72,58.42
1,48.26,30.48,22.86,20.32,27.94,22.86,25.4,30.48,25.4,50.8,81.28
1,50.8,30.48,27.94,22.86,20.32,33.02,48.26,53.34,38.1,76.2,101.6
1,55.88,43.18,22.86,22.86,25.4,30.48,53.34,58.42,45.72,81.28,119.38
1,60.96,45.72,25.4,25.4,33.02,33.02,55.88,60.96,48.26,96.52,127
1,58.42,45.72,27.94,30.48,30.48,30.48,60.96,66.04,53.34,106.68,152.4
1,50.8,43.18,25.4,25.4,27.94,30.48,53.34,60.96,48.26,96.52,109.22
1,50.8,40.64,25.4,20.32,30.48,30.48,45.72,50.8,35.56,71.12,96.52
1,45.72,25.4,27.94,25.4,25.4,25.4,50.8,53.34,40.64,81.28,104.14
1,55.88,45.72,30.48,27.94,30.48,38.1,58.42,66.04,53.34,106.68,137.16
1,50.8,45.72,35.56,30.48,25.4,40.64,58.42,63.5,50.8,101.6,116.84
1,55.88,48.26,38.1,35.56,35.56,38.1,60.96,66.04,55.88,111.76,182.88
1,55.88,45.72,30.48,33.02,38.1,38.1,58.42,63.5,53.34,106.68,162.56
0,60.96,43.18,38.1,30.48,33.02,38.1,55.88,60.96,40.64,81.28,144.78
1,58.42,45.72,30.48,73.66,81.28,40.64,55.88,50.8,53.34,50.8,162.56
0,45.72,27.94,25.4,55.88,93.98,58.42,33.02,25.4,25.4,43.18,55.88
1,55.88,45.72,40.64,76.2,93.98,71.12,63.5,48.26,55.88,101.6,116.84
1,58.42,50.8,43.18,86.36,104.14,60.96,63.5,45.72,55.88,101.6,149.86
1,60.96,53.34,45.72,93.98,71.12,60.96,58.42,43.18,58.42,99.06,144.78
1,50.8,35.56,30.48,68.58,83.82,68.58,45.72,35.56,35.56,73.66,144.78
1,58.42,45.72,38.1,73.66,66.04,50.8,58.42,55.88,55.88,104.14,162.56
1,50.8,35.56,27.94,58.42,58.42,38.1,48.26,43.18,35.56,76.2,127
1,48.26,45.72,38.1,71.12,86.36,71.12,63.5,60.96,58.42,99.06,203.2
